
V-----; SWVNR=180826;SQNDL=7;DATE=19-09-09;TIME=00:00:12;TTEMP=15;TDEWP=5;IUFAN=800;ILFAN=5;IUHEA=3000;PYDEF=10;PYAVT=30;PYAVW=1;MSDLY=15;FNDLY=30;OSTRG=5;DBGFL=0;ASIRE=900;DBGRE=900;MPPFL=-1;
SQNR=15;DATE=19-09-09;TIME=00:00:15;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=210;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=30;DATE=19-09-09;TIME=00:00:30;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=205;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=45;DATE=19-09-09;TIME=00:00:45;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=124;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=60;DATE=19-09-09;TIME=00:01:00;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=66;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=75;DATE=19-09-09;TIME=00:01:15;STAT=202222;TMPA=20;TMPB=28;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=9;IFAN=123;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=90;DATE=19-09-09;TIME=00:01:30;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=147;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=105;DATE=19-09-09;TIME=00:01:45;STAT=202222;TMPA=20;TMPB=28;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=9;IFAN=149;IHEA=0;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=120;DATE=19-09-09;TIME=00:02:00;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=117;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=135;DATE=19-09-09;TIME=00:02:15;STAT=202222;TMPA=20;TMPB=28;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=79;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=150;DATE=19-09-09;TIME=00:02:30;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=170;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=165;DATE=19-09-09;TIME=00:02:45;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=204;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=180;DATE=19-09-09;TIME=00:03:00;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=126;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=195;DATE=19-09-09;TIME=00:03:15;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=72;IHEA=1242;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=210;DATE=19-09-09;TIME=00:03:30;STAT=202222;TMPA=20;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=148;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=225;DATE=19-09-09;TIME=00:03:45;STAT=202222;TMPA=19;TMPB=27;TMPC=30;RHUA=90;DWPA=18;UINA=48;UINB=8;IFAN=172;IHEA=1232;PTYP=0;PNAM=MS-80M;PIRA=0;PIRP=0;PIRM=0;PIRL=0;PIRH=0;
SQNR=240;DATE=19-09-09;TIME=00:04:00;STAT=20222
